system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jiyambi\Documents\GitHub\Pollinator\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00084] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00087] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01217] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.07874] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.07880] Allegro version: 5.0.7
dtor     D               dtor.c:184  _al_register_destructor          [   0.08140] added dtor for object 002855A8, func 0F3C24AA
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [   0.08245] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [   0.08407] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08410] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08412] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08413] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08415] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08416] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08418] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08419] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.08420] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08422] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08423] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08425] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08426] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08428] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08429] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08431] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08432] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08434] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08435] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08436] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08438] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
